dataset,ranking_metric,utility_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
real_data6_testing,spearmanr,utility_accuracy_drop,-0.5206700742186141,1.1116176134173191e-63,-0.130067467996922,9.106758957725503e-05,900
real_data6_testing,spearmanr,fidelity_balanced_accuracy_drop,-0.42159944242117275,4.322619229982734e-40,-0.14911482456410857,7.043620911062265e-06,900
real_data6_testing,spearmanr,utility_balanced_accuracy_drop,-0.4045870536059898,9.088479430869591e-37,-0.1238854911433681,0.00019472701634111456,900
real_data6_testing,rbo,fidelity_accuracy_drop,-0.5454310515508003,6.805962137050787e-71,-0.16119772150102699,1.1677384960814862e-06,900
real_data6_testing,rbo,utility_accuracy_drop,-0.5385975473114424,7.651722771143181e-69,-0.1266438140285474,0.0001393145420518524,900
real_data6_testing,rbo,fidelity_balanced_accuracy_drop,-0.39773109553784447,1.7545948590554503e-35,-0.1350291602744162,4.826567024174607e-05,900
real_data6_testing,rbo,utility_balanced_accuracy_drop,-0.38641367390229614,2.0020757495449875e-33,-0.11381937661139767,0.0006240085775422811,900
real_data6_testing,ndcg_score,fidelity_accuracy_drop,-0.5070942343847672,5.685163260609352e-60,-0.1693557436364533,3.211872223284118e-07,900
real_data6_testing,ndcg_score,utility_accuracy_drop,-0.5012318457081814,2.0197036587200053e-58,-0.13052998879938077,8.591509325826459e-05,900
real_data6_testing,ndcg_score,fidelity_balanced_accuracy_drop,-0.4258433392286398,5.979645594535691e-41,-0.15441026130330496,3.258608904374219e-06,900
real_data6_testing,ndcg_score,utility_balanced_accuracy_drop,-0.4064424861443746,4.030368345211183e-37,-0.12709523485702456,0.00013179951636407817,900
real_data_testing,kendalltau,fidelity_accuracy_drop,0.32810788289942233,9.37020676406546e-13,0.33877356430260136,1.5130106498796673e-13,450
real_data_testing,kendalltau,utility_accuracy_drop,0.23601652862852018,4.0955196737538107e-07,0.27557557402288446,2.763215572017263e-09,450
real_data_testing,kendalltau,fidelity_balanced_accuracy_drop,0.2902564815345757,3.479439483529636e-10,0.31768771209714547,5.2009457337360325e-12,450
real_data_testing,kendalltau,utility_balanced_accuracy_drop,0.24857834261244816,9.164214605122034e-08,0.28250393161779863,1.055027246898979e-09,450
real_data_testing,kendalltau,fidelity_rmse_ratio,0.33655006789830766,4.9082732158877716e-08,0.5022617188395364,2.202542371707949e-17,250
real_data_testing,kendalltau,utility_rmse_ratio,0.23310278316685282,0.00020035897386564252,0.30079434554202417,1.267352564582786e-06,250
real_data_testing,weightedtau,fidelity_accuracy_drop,0.30720515471808985,2.7305930608919844e-11,0.3489792154420267,2.4716254991060792e-14,450
real_data_testing,weightedtau,utility_accuracy_drop,0.23026869692672455,7.906625612873084e-07,0.299286257405192,9.154787842309492e-11,450
real_data_testing,weightedtau,fidelity_balanced_accuracy_drop,0.2787745984021297,1.7773974733172217e-09,0.33758222224697454,1.861342726090474e-13,450
real_data_testing,weightedtau,utility_balanced_accuracy_drop,0.24679673895244864,1.1389188003813197e-07,0.3114952768723815,1.3961931669377869e-11,450
