perturbation,ranking_metric,utility_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
mean_variance_drift,weightedtau,fidelity_rmse_ratio,0.016611932755494517,0.789787072518164,-0.0812651566650928,0.19148152590781262,260
mean_variance_drift,weightedtau,utility_rmse_ratio,0.04030992125354163,0.5175612729914036,-0.039327005904500396,0.5278327894561963,260
mean_variance_drift,spearmanr,fidelity_accuracy_drop,-0.14003447240779626,0.0003805460844238191,-0.11985300521970144,0.002388703467140154,640
mean_variance_drift,spearmanr,utility_accuracy_drop,-0.1644867272697792,2.8946314400499172e-05,-0.05957988529348695,0.1321554180602347,640
mean_variance_drift,spearmanr,fidelity_balanced_accuracy_drop,-0.2378654507488634,1.1048214914948857e-09,-0.14158285466497444,0.00032700961131497977,640
mean_variance_drift,spearmanr,utility_balanced_accuracy_drop,-0.08355537697087106,0.034569383516580385,-0.0880428954799109,0.025927156375642347,640
mean_variance_drift,spearmanr,fidelity_rmse_ratio,-0.006603995979439075,0.9156027417158832,-0.11634905896426219,0.06101317323375935,260
mean_variance_drift,spearmanr,utility_rmse_ratio,-0.001289828208187899,0.9834868421785437,-0.2768997738735146,5.834669447448398e-06,260
mean_variance_drift,rbo,fidelity_accuracy_drop,,,,,640
mean_variance_drift,rbo,utility_accuracy_drop,,,,,640
mean_variance_drift,rbo,fidelity_balanced_accuracy_drop,,,,,640
mean_variance_drift,rbo,utility_balanced_accuracy_drop,,,,,640
mean_variance_drift,rbo,fidelity_rmse_ratio,-0.07735791472147817,0.2137895583667825,-0.09500389890404932,0.12652032835508029,260
mean_variance_drift,rbo,utility_rmse_ratio,0.009988635173597205,0.8726527565265741,-0.041969706279336785,0.5004528783308795,260
mean_variance_drift,ndcg_score,fidelity_accuracy_drop,-0.2855265567723906,1.7980271582043559e-13,-0.19497613000589112,6.67154769038798e-07,640
mean_variance_drift,ndcg_score,utility_accuracy_drop,-0.11228107838110182,0.004455712672336135,-0.15416788488382102,9.003627411386178e-05,640
mean_variance_drift,ndcg_score,fidelity_balanced_accuracy_drop,-0.17397588671728048,9.578494382978671e-06,-0.14191306822013672,0.0003165419747704601,640
mean_variance_drift,ndcg_score,utility_balanced_accuracy_drop,-0.13950011001051238,0.0004008451496374631,-0.11697043456207494,0.003041244281370089,640
mean_variance_drift,ndcg_score,fidelity_rmse_ratio,0.03722621273426363,0.5501271707911007,-0.19002214688902955,0.0020885805674341973,260
mean_variance_drift,ndcg_score,utility_rmse_ratio,0.051277915531504376,0.41028657947342273,-0.15334730041950423,0.01330888597125191,260
missingness_mcar,kendalltau,fidelity_accuracy_drop,-0.19255764105446924,9.208272583207132e-07,-0.09719756493778559,0.013895813530373476,640
missingness_mcar,kendalltau,utility_accuracy_drop,-0.1917164682426559,1.0290640591940067e-06,-0.0987653415118656,0.012425732439360394,640
missingness_mcar,kendalltau,fidelity_balanced_accuracy_drop,-0.21456447084827515,4.21844734112318e-08,-0.15141568098074784,0.00012042910930623885,640
missingness_mcar,kendalltau,utility_balanced_accuracy_drop,-0.21397000549776835,4.605507862294856e-08,-0.15188427772735924,0.00011465068279867388,640
missingness_mcar,kendalltau,fidelity_rmse_ratio,-0.32360307508817227,9.444710611616815e-08,-0.4181708655328996,1.9879220312960285e-12,260
missingness_mcar,kendalltau,utility_rmse_ratio,-0.39968516051848124,2.1598578430910223e-11,-0.3840260242042053,1.456561081514293e-10,260
missingness_mcar,weightedtau,fidelity_accuracy_drop,-0.1387168860166835,0.00043242761968882194,-0.08294351847125056,0.03591951747818593,640
missingness_mcar,weightedtau,utility_accuracy_drop,-0.13732115786232005,0.000494521703206447,-0.084326649292738,0.032929313864924405,640
missingness_mcar,weightedtau,fidelity_balanced_accuracy_drop,-0.16459259669952814,2.860082739971186e-05,-0.11970525685154539,0.0024187605390648395,640
missingness_mcar,weightedtau,utility_balanced_accuracy_drop,-0.16268588177332527,3.546504080397199e-05,-0.11993894105761468,0.002371378475805974,640
missingness_mcar,weightedtau,fidelity_rmse_ratio,-0.23804375458760899,0.00010631697190855272,-0.4109569700855968,5.132026942784751e-12,260
missingness_mcar,weightedtau,utility_rmse_ratio,-0.37552575244400765,3.9379301876001563e-10,-0.42875972133915635,4.739522750918807e-13,260
missingness_mcar,spearmanr,fidelity_accuracy_drop,-0.18945147109863497,1.384672550357102e-06,-0.1221740744096625,0.001959181026982227,640
missingness_mcar,spearmanr,utility_accuracy_drop,-0.18908744810552902,1.4518474466880715e-06,-0.12351589752640106,0.0017443802454273605,640
missingness_mcar,spearmanr,fidelity_balanced_accuracy_drop,-0.20609379153637505,1.4391002991022824e-07,-0.16650633352644387,2.2991012136220113e-05,640
missingness_mcar,spearmanr,utility_balanced_accuracy_drop,-0.20644162405374955,1.369752158320795e-07,-0.16672965817141508,2.2409077691237465e-05,640
missingness_mcar,spearmanr,fidelity_rmse_ratio,-0.25065741208178327,4.356701158762809e-05,-0.40966937404633774,6.064226349570266e-12,260
missingness_mcar,spearmanr,utility_rmse_ratio,-0.3197008855338046,1.3708347168977117e-07,-0.3635664444717284,1.5211163109331395e-09,260
missingness_mcar,rbo,fidelity_accuracy_drop,-0.3142647189344186,3.8889134066780463e-16,-0.1883157046528556,1.60475049438403e-06,640
missingness_mcar,rbo,utility_accuracy_drop,-0.3140461113255725,4.0853960103512484e-16,-0.1896738996366317,1.3451054480561571e-06,640
missingness_mcar,rbo,fidelity_balanced_accuracy_drop,-0.18024684047273087,4.461329434280006e-06,0.02314292266562703,0.5589454971024828,640
